year_of_assessment,no_of_indv_assessed,total_income,donations,assessable_income
2004,1734218,71878947,254217,71624730
2005,1528861,71594148,247025,71347123
2006,1461040,75480305,323978,75156326
2007,1522175,84724808,282038,84442770
2008,1616707,98848536,357352,98491184
2009,1650385,106856700,349723,106506977
2010,1728186,107768942,473754,107295188
2011,1829400,121006829,586485,120420344
2012,1968605,134731182,623831,134107351
2013,2114924,144995861,688972,144306888
2014,2184698,156483548,725218,155758329
2015,2280528,168580385,816554,167763831
2016,2386718,178309675,1172590,177137085
2017,2467000,183840806,942717,182898089
2018,2521445,190995727,1011963,189983763
2019,2581396,200244908,1046857,199198052
2020,2658322,208327708,1069912,207257796
2021,2647609,210342146,1219252,209122895
2022,2647386,229495927,1389674,228106253
