,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
"All Occupation Groups, (Total Employed Residents)",2350.4,2286.5,2222.6,2230.4,2203.7,2175.3,2165.3,2147.8,2103.5,2056.1,2040.6,1998.9,1962.9,1869.4,1852,1803.2,1796.7,1647.3,1632.1,1605.4,1573.7,1582.5,1482.6,1518.3,1493.8,1499.8,1464.8,1381.9,1416.1,1381.6,1369.8,1345,1288.8
  Manufacturing,224.9,212.1,213,214.4,227.8,223.4,227.2,238.6,249.3,280,288.2,292.4,291.4,293.6,311.9,304.5,301.7,273.9,296.6,302.5,298.3,306.9,288.8,329.2,329.9,345.9,347.6,297.2,358.9,365,362.2,366,332.6
  Construction,97.7,98.4,97.2,98,104.4,100.7,101.2,110.6,98.2,101.9,104.5,99.7,104,113.8,105.5,100.8,95,85.5,92.6,97.7,96.5,100,92.3,109,111.3,107.2,99.6,89.6,95.5,90.5,89.4,87.7,75.5
  Services,2006,1952.6,1891.3,1894.5,1849.9,1829.4,1816.9,1775.5,1731.2,1647.5,1621.5,1583.4,1530,1441.2,1412,1377.3,1377.6,1268.4,1221.7,1184.9,1159.6,1154.8,1088.3,1066.3,1040,1031.4,1007.2,971.9,948.7,914.3,905.6,880.1,861.2
    Wholesale & Retail Trade,351.8,338.6,335.1,356,352.5,356.2,364.1,364.1,346.3,302.2,306.3,300.5,281.7,272.4,269.5,277,301.1,303.6,275.4,253.7,256.4,253.8,253.7,238.3,236.7,251,256.1,219,244.4,242.5,237,227.3,232.2
    Transportation & Storage,207.4,200.6,214.8,205.5,199,195.9,188.4,187.6,188.9,192.6,189.5,192,191.3,179.9,182.4,179.9,174,159.9,164.2,163.5,165.6,171,149.6,172.2,172.3,177.5,169.5,144.1,158.8,154.8,146.8,143.6,126.2
    Accommodation & Food Services,126.6,125.2,128.9,131.8,134.4,134.4,138.2,139.1,137.1,135.1,129.3,135.2,128.9,124.9,120,123.1,128.8,103.2,107.9,107.8,103.5,105,92.6,101.7,98.4,87.8,98.7,90.7,99.4,94.7,96.2,95.5,91.1
    Information & Communications,132.8,120.4,111.4,102.6,94.1,91.3,87,86.1,88.4,92.3,86.5,86,100.5,94.3,87,87.8,74.8,64,67.5,68.2,65.4,75,55.2,na,na,na,na,36.7,na,na,na,na,20.3
    Financial & Insurance Services,235.8,225.2,207.9,209.4,196,189.6,190.7,167.3,165.6,147.8,150.6,145.5,126,121.9,123.6,109.7,106.3,103.5,91.9,88.6,90.8,89.1,91.3,86.1,89,90.1,81.7,75,71.2,62.4,60.5,63,57.8
    Real Estate Services,59.7,51,49.8,48.7,54,57.6,53.5,55.4,55.6,49.3,52,48.9,40.2,45,40.8,38.5,37.7,35.6,34.7,34.5,34.3,35.7,38.4,na,na,na,na,45.9,na,na,na,na,39.1
    Professional Services,197.6,196.5,181.4,181.5,174.4,170.8,163,166.6,153,142.8,135,124.8,112.5,109.6,109.6,97.2,99,93.9,71.3,65.9,61.7,61.1,70.8,na,na,na,na,66.5,na,na,na,na,42.1
    Administrative & Support Services,120.3,120,128.3,120,117.9,114.7,115.9,108.9,102,99.3,102.1,97.4,100.1,88.7,87.2,88.2,80.5,73.6,68.8,64.9,62.1,57.2,53.8,na,na,na,na,31.4,na,na,na,na,27.5
    Public Administration & Education Services,309.6,315.6,293.9,304.3,296.9,293.7,294.9,290.7,285.2,284.8,275.1,266.3,266.7,236.3,228.5,220.5,223.4,197.3,212.2,216.4,199,189.2,171.3,179,172.8,162.4,157.2,153.1,153.5,157.1,159.8,158.2,141.6
    Health & Social Services,160.3,152.9,139.9,136.2,126,124.8,115.9,105.7,107.7,94.8,90.8,87.4,83.3,76.9,74.3,69.9,70.8,60.1,61.7,55.6,53.1,53.8,46.3,44.5,41.7,47.5,45.9,38.5,45.7,43.9,42.5,43.8,33
"    Arts, Entertainment & Recreation",34.5,33,34.4,34.3,37.7,35.2,40.4,37,35.1,37.2,39,33.7,32.9,22.6,21.1,22.1,19.7,18.4,14.1,14.4,15.3,13.5,19.4,na,na,na,na,14.5,na,na,na,na,11.6
"    Other Community, Social & Personal Services",69.8,73.5,65.4,64.1,67.1,65.5,64.9,67.1,66.3,69.3,65.3,65.7,65.8,68.7,68,63.5,61.3,55.2,52,51.4,52.5,50.4,46,79,75.7,73.4,67.3,56.4,67.4,61.9,65.6,59.5,38.7
  Other Industries Nes,21.9,23.4,21.2,23.5,21.6,21.7,20,23.2,24.8,26.8,26.4,23.5,37.5,20.8,22.7,20.5,22.4,19.5,21.2,20.3,19.2,20.7,13.1,13.8,12.7,15.2,10.3,23.3,12.9,11.7,12.7,11.2,19.4
Managers & Administrators (Including Working Proprietors),407.7,377.7,368.3,364.9,341.6,348.8,337.5,355.8,351.2,360.5,359,367,352.4,310.8,303.3,281.2,na,231.7,242,243.2,233.3,233.3,221.4,191.3,194,191.8,184.1,159.7,155.6,148.5,140,122.8,121.7
