,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Occupation And Age Group, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,"All Occupation Groups, (Total Employed Residents) (Thousand)","All Occupation Groups, (Total Employed Residents) -> Managers & Administrators (Including Working Proprietors) (Thousand)","All Occupation Groups, (Total Employed Residents) -> Professionals (Thousand)","All Occupation Groups, (Total Employed Residents) -> Associate Professionals & Technicians (Thousand)","All Occupation Groups, (Total Employed Residents) -> Clerical Support Workers (Thousand)","All Occupation Groups, (Total Employed Residents) -> Service & Sales Workers (Thousand)","All Occupation Groups, (Total Employed Residents) -> Craftsmen & Related Trade Workers (Thousand)","All Occupation Groups, (Total Employed Residents) -> Plant & Machine Operators & Assemblers (Thousand)","All Occupation Groups, (Total Employed Residents) -> Cleaners, Labourers & Related Workers (Thousand)","All Occupation Groups, (Total Employed Residents) -> Others (Thousand)",Employed Residents Aged 15 - 19 Years (Thousand),Employed Residents Aged 15 - 19 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 15 - 19 Years -> Professionals (Thousand),Employed Residents Aged 15 - 19 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 15 - 19 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 15 - 19 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 15 - 19 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 15 - 19 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 15 - 19 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 15 - 19 Years -> Others (Thousand),Employed Residents Aged 20 - 24 Years (Thousand),Employed Residents Aged 20 - 24 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 20 - 24 Years -> Professionals (Thousand),Employed Residents Aged 20 - 24 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 20 - 24 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 20 - 24 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 20 - 24 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 20 - 24 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 20 - 24 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 20 - 24 Years -> Others (Thousand),Employed Residents Aged 25 - 29 Years (Thousand),Employed Residents Aged 25 - 29 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 25 - 29 Years -> Professionals (Thousand),Employed Residents Aged 25 - 29 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 25 - 29 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 25 - 29 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 25 - 29 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 25 - 29 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 25 - 29 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 25 - 29 Years -> Others (Thousand),Employed Residents Aged 30 - 34 Years (Thousand),Employed Residents Aged 30 - 34 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 30 - 34 Years -> Professionals (Thousand),Employed Residents Aged 30 - 34 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 30 - 34 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 30 - 34 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 30 - 34 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 30 - 34 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 30 - 34 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 30 - 34 Years -> Others (Thousand),Employed Residents Aged 35 - 39 Years (Thousand),Employed Residents Aged 35 - 39 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 35 - 39 Years -> Professionals (Thousand),Employed Residents Aged 35 - 39 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 35 - 39 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 35 - 39 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 35 - 39 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 35 - 39 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 35 - 39 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 35 - 39 Years -> Others (Thousand),Employed Residents Aged 40 - 44 Years (Thousand),Employed Residents Aged 40 - 44 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 40 - 44 Years -> Professionals (Thousand),Employed Residents Aged 40 - 44 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 40 - 44 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 40 - 44 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 40 - 44 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 40 - 44 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 40 - 44 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 40 - 44 Years -> Others (Thousand),Employed Residents Aged 45 - 49 Years (Thousand),Employed Residents Aged 45 - 49 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 45 - 49 Years -> Professionals (Thousand),Employed Residents Aged 45 - 49 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 45 - 49 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 45 - 49 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 45 - 49 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 45 - 49 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 45 - 49 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 45 - 49 Years -> Others (Thousand),Employed Residents Aged 50 - 54 Years (Thousand),Employed Residents Aged 50 - 54 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 50 - 54 Years -> Professionals (Thousand),Employed Residents Aged 50 - 54 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 50 - 54 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 50 - 54 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 50 - 54 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 50 - 54 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 50 - 54 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 50 - 54 Years -> Others (Thousand),Employed Residents Aged 55 - 59 Years (Thousand),Employed Residents Aged 55 - 59 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 55 - 59 Years -> Professionals (Thousand),Employed Residents Aged 55 - 59 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 55 - 59 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 55 - 59 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 55 - 59 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 55 - 59 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 55 - 59 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 55 - 59 Years -> Others (Thousand),Employed Residents Aged 60 - 64 Years (Thousand),Employed Residents Aged 60 - 64 Years -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 60 - 64 Years -> Professionals (Thousand),Employed Residents Aged 60 - 64 Years -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 60 - 64 Years -> Clerical Support Workers (Thousand),Employed Residents Aged 60 - 64 Years -> Service & Sales Workers (Thousand),Employed Residents Aged 60 - 64 Years -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 60 - 64 Years -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 60 - 64 Years -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 60 - 64 Years -> Others (Thousand),Employed Residents Aged 65 Years & Over (Thousand),Employed Residents Aged 65 Years & Over -> Managers & Administrators (Including Working Proprietors) (Thousand),Employed Residents Aged 65 Years & Over -> Professionals (Thousand),Employed Residents Aged 65 Years & Over -> Associate Professionals & Technicians (Thousand),Employed Residents Aged 65 Years & Over -> Clerical Support Workers (Thousand),Employed Residents Aged 65 Years & Over -> Service & Sales Workers (Thousand),Employed Residents Aged 65 Years & Over -> Craftsmen & Related Trade Workers (Thousand),Employed Residents Aged 65 Years & Over -> Plant & Machine Operators & Assemblers (Thousand),"Employed Residents Aged 65 Years & Over -> Cleaners, Labourers & Related Workers (Thousand)",Employed Residents Aged 65 Years & Over -> Others (Thousand)
  2022,2350.4,407.7,600.9,485.7,211.8,241.2,53.3,135.7,158.4,55.8,26.8,na,0.2,2.9,3.4,6.8,0.5,1.1,1.7,10.2,105.2,1.1,14.7,25.2,13.2,13.3,1.9,2.8,5,28,193,12,76.5,58.7,15.4,16.5,1.9,4.5,3,4.6,278.7,41.1,113.1,71.7,18.9,19.3,1.6,4.9,4.7,3.4,275.3,56.9,98.9,62,19.3,20.3,2.8,6.7,6.2,2.1,292.7,72.9,90.8,63.8,20.7,23.6,4.5,8.3,5.9,2.2,295.6,73,80.6,59.6,26.3,25.7,5.3,13.5,10,1.7,247.9,58.7,54.9,49,23,23.9,5.9,16.9,14.6,1.1,234.6,44.4,35.2,42.6,26.5,29.8,8.8,23.1,23.5,0.8,193.2,25,21.9,28.2,23.8,26.5,10.4,26.4,30.2,0.7,207.3,22.7,14,22,21.3,35.6,9.5,27.4,53.8,1.1
  2021,2286.5,377.7,577.5,465.8,223.4,239.2,57.9,137,151.5,56.5,26.9,na,0.2,2.2,5.6,6.6,0.1,0.5,2.9,8.9,124,1.1,19,24.5,21.4,16.5,1.8,4.1,5.2,30.4,229.2,12.3,88.9,71.9,18.7,20,3.2,5.1,4.2,4.9,293.9,38.9,116.7,75.7,22.3,22,3.8,7.5,4.2,2.8,274.1,55.1,96.9,61.9,21,20.8,3.7,7.8,4.7,2.2,268.6,66,87.1,56.5,18.7,19.4,3.4,8.9,5.9,2.6,252.3,64.7,64.3,48.4,24.5,20.2,6,13.7,9.6,0.9,213,49.3,42.2,39.8,21.4,23.5,6.5,16.1,13.8,0.4,213.9,36.6,29.6,35.5,26.5,28.6,9.5,25.1,21.5,0.9,192,28.8,19,28.6,23.7,27.6,9.8,25.5,28,1.1,198.5,24.8,13.7,20.7,19.7,34,10.1,22.7,51.4,1.4
  2020,2222.6,368.3,504.2,458.2,215.6,252.3,62.5,151.7,149.5,60.4,26.3,na,0.1,1.7,3.5,6.1,0.4,0.8,1.8,12,115.9,0.5,11.1,25.8,19.3,17.2,2.3,3.7,4.1,31.8,230.6,9.5,76.4,81.1,21.9,22.6,3.9,6.7,3.4,5.1,252.3,32.9,97.1,68.4,18.2,20,2.1,7.1,4,2.3,261.7,59,82.5,60.1,18,22.7,3.4,9.2,4.3,2.5,259.2,66.7,75.8,53.5,21,19.7,4.6,10.4,6.3,1.3,266.3,69.9,63.4,50.4,22.6,24.6,6.7,17.4,10,1.3,237.1,51.3,42.2,43.2,24.7,27.8,8.5,22,16.4,1,224.5,38.3,28.8,34.1,27.2,31.4,11.4,26.8,25.4,1.2,173.7,21.5,15.7,23.9,22.6,28.5,9.6,25.7,25.4,0.8,175.2,18.7,11.1,16,16.6,31.6,9.6,21.9,48.5,1.1
  2019,2230.4,364.9,469.4,467.9,237.2,257.7,67.8,151.4,149.4,64.8,32.6,na,0.3,1.6,5.3,8.7,0.1,0.7,1.9,14.1,131.3,0.9,15.6,28.4,21.9,21.2,2.1,3.1,3.9,34.2,224.7,8.7,77.4,76.1,21.4,20.6,4.1,6.9,4.3,5.2,246,32,82,72.8,21.6,20.7,3.8,6.7,3.8,2.6,259.8,57,78.5,62.6,21.4,21,4,7.9,5.2,2.1,262,65.5,68.5,57.4,23.8,24.1,4.4,10.4,6,1.8,273.8,69.6,55.4,55.8,28.2,27.4,7.4,18,10.7,1.3,247,51.6,40.3,42.8,29.6,31.7,10.9,22.4,17,0.8,227.8,38,26.7,34.4,27.6,30.9,12.9,28.6,27.3,1.3,165.8,24,13.5,20.4,20.6,26,9.6,25.2,26.3,0.4,159.6,17.6,11.3,15.6,15.9,25.4,8.6,21.4,43,0.9
  2018,2203.7,341.6,449.2,465,241,262.7,70,147.9,156.4,69.8,35.3,na,0.3,2,5.9,9.4,0.4,0.4,1.5,15.3,135.9,0.7,14.1,28.6,26.6,21.1,1.8,2.8,4.2,36,223.5,9.2,69.2,76.3,25.7,23.8,4,5.9,4.2,5.3,234,29.6,80,69.2,19.8,19.6,3.7,5.8,3.5,2.7,263.1,52.4,78.2,65,23.6,22,4.8,8.3,5.7,3.2,271.1,66.8,69.4,59.6,25.5,23,5.5,11.6,8.1,1.5,261.7,63.4,52.5,52.7,26.7,28.3,7.9,16.5,12.2,1.6,251.1,49.3,35.5,43.4,30.9,34.7,11.9,23.8,20,1.5,217.3,34.3,26,34.3,25.3,29.9,12,28,26.4,1.1,165.9,21.1,14.2,22.3,17.6,25.2,10,26.5,28.3,0.5,144.9,14.9,9.9,11.5,13.3,25.7,8,18.3,42.4,1
  2017,2175.3,348.8,437.6,436.2,247.9,248,76,151.5,160.5,68.9,32.6,na,0.2,1.2,4.8,8.5,0.3,0.2,1.7,15.8,135.2,1,12.6,27.9,24.8,21.5,2.5,3.7,3.8,37.4,217.2,8.6,72.3,76,22.7,20.1,3.7,5.5,4.1,4.2,236.2,30.8,84.1,63.6,23.1,18.8,3.4,5.7,4.4,2.1,265.9,52.2,80.2,64.2,24.7,22.7,4.9,8.2,6.3,2.6,271.5,68.8,67.8,53.6,28.5,22.9,7.7,12.1,7.9,2.2,264.2,64.7,50,52.2,30.2,26.8,9,18.1,12.1,1,244.3,48.6,32.5,40,30.6,30.1,13.6,26.4,21.7,0.9,205.4,36,19.5,29.8,26.5,26.7,12.9,28.5,24.4,1.1,161.3,22.2,10.9,18.2,19.3,25.4,10.8,25.4,28.4,0.7,141.5,16,7.6,9.4,12.8,24.4,7.1,17.8,45.6,0.9
  2016,2165.3,337.5,419.8,438.1,244.9,262.4,79.2,151.1,160.7,71.6,34.9,na,0.3,2.1,4.1,9.9,0.3,0.2,1.9,16,147.2,0.9,13.3,30.9,28.3,24.9,3.1,2.7,3.6,39.5,226.5,9.4,72.8,77.3,25.9,23.3,4.3,3.7,4.4,5.5,237,35,81.1,65.1,21.1,19.2,4.1,5.4,4.1,1.8,250.3,51.7,75.8,57.3,22.3,20.8,5.9,8.4,5.4,2.7,260.3,65,60.7,55,27,23.9,6,12.6,8.9,1.3,251,60.1,45.1,46.5,29.8,29.1,8.9,17.1,13.4,1.1,253.9,46.5,31.7,41.5,32.4,32.5,15.5,30,22.2,1.5,218.6,34.2,20.2,33,26.6,32,13.1,29.2,29.4,0.8,158.8,20.4,10.7,20.2,17,24.9,10.7,24.8,29.3,0.7,126.8,14.2,8.3,9.2,10.5,21.8,7.1,16.9,38.1,0.7
  2015,2147.8,355.8,404.1,408.3,267.7,251.6,83.9,146.1,160.3,70,36.9,na,0.2,2.1,6.2,9.8,0.3,0.3,2.2,15.6,150.2,1.6,14.9,31.9,30.6,24.2,3.1,2.2,3.6,37.9,208,12.1,66.4,67.7,24.5,21.7,4.2,4.2,3,4.3,236.3,36.5,80.8,58.4,25.7,19.1,4.1,5.2,3.8,2.9,261,56,75.4,59.7,26.8,21.5,6.2,6.7,5.7,3,268.3,67.5,61.4,52.8,30.8,24.3,8.5,12.2,9.3,1.5,251,61.2,40,43.3,32,28,11.6,18.4,15,1.5,255.4,50.7,29.6,38.3,34.6,33.9,15.1,28.6,22.9,1.7,216.4,38.5,18.7,28.4,28.6,28.4,14.3,29.6,29.3,0.7,149.2,19.3,10.3,17.8,18.5,21.9,10,24,26.9,0.4,115.3,12.5,6.5,8,9.4,18.8,6.4,14.7,38.6,0.5
  2014,2103.5,351.2,383.3,391.5,268.4,244.3,82.2,145.9,166,70.8,28.5,na,0.2,1.3,4.1,8.2,0.3,0.3,2,12.2,146.8,1,13.9,24.8,31.7,23.7,2.2,2.5,4.5,42.4,204.9,11.8,64.3,63.2,28.8,20.7,5.2,4.1,2.5,4.3,242.1,35.7,79.9,61.3,25.9,21.7,4.9,4.9,4.4,3.4,248.6,55.5,66.7,59.2,25.6,20.5,5.4,7,6.2,2.6,257.2,65.6,55.5,51.5,29,23.2,8,13.4,9.3,1.8,245.9,59.7,40.6,42.1,30.9,26.9,10.1,17.8,16.1,1.6,254.6,51,27.9,37,33.8,31.6,14.1,30.5,27.4,1.4,213.9,35.5,16.9,27.1,30.7,27.8,15.1,29,30.7,0.9,146.1,20.9,10,16.8,17.3,21.1,10.5,23.3,26.2,0.1,114.7,14.7,7.2,7.1,10.6,18.8,6.5,13,36.6,0.1
  2013,2056.1,360.5,371.9,359.5,271.8,244.7,82.2,146.9,150.2,68.7,28.9,na,0.4,1.6,4.7,8.6,0.3,0.4,1.6,11.3,141.9,1.7,13.1,23.2,30.9,22,2.4,2.5,3.2,43,198.3,13.3,60.2,55.9,31.1,23,3.3,4.2,3.4,3.8,241,39.1,76.7,55.6,29.2,23.1,4.3,5.3,4.5,3.2,253.8,58.8,68.8,54.1,27.3,22.1,5.8,9,5,2.8,258.5,68,52.4,47.7,34,23.6,9.6,11.7,10,1.5,258.3,61.7,38.1,40.7,33.3,31,13,23,16,1.5,248,51.3,26.8,35.4,32.7,29.5,15.8,32.4,23.3,0.8,199.1,33.3,19.8,26.4,26,24.9,13.8,27.6,26.9,0.4,132.2,20.6,10,13.7,15.4,19.5,8.6,18.5,25.6,0.3,96.1,12.7,5.4,5.2,7.1,17.4,5.2,12.3,30.6,0.2
  2012,2040.6,359,369.9,340.4,265.7,252.5,90.6,148.7,145.3,68.6,30.9,na,0.4,2.3,5.5,8.5,0.3,0.2,1.8,11.9,156.1,2.1,17.6,25.7,32.4,24.9,2.2,2.9,4.1,44.2,197.7,15.3,64.6,51.4,29.2,22.1,4,4.3,3.4,3.3,238.3,41.8,76.6,53.2,27.8,21.6,4.5,5.6,4.3,2.8,259,60.3,68.3,51.4,30.6,23.6,7.9,9.5,5.9,1.4,258.4,66.2,51.8,46,31.8,26,10.4,14.9,9.8,1.5,261.5,59.8,37.7,38.6,34.7,34.5,14.5,23.1,16.9,1.6,241.2,50.5,23.7,30.1,32.1,31.8,17.5,30.3,23.9,1.2,191.3,31.6,15.6,24.3,23.6,25.6,15.1,29,26.1,0.5,123.4,19.1,9,12.5,12.1,19.4,8.6,19,23.5,0.2,83,12.2,4.6,4.9,5.8,14.5,5.5,9.9,25.6,0.1
  2011,1998.9,367,348.5,337.1,249.3,234.8,89.5,157.5,145.7,69.6,31,na,0.3,1.3,4.9,8.5,0.1,0.2,2.1,13.6,147.2,1.9,18,24.2,30.4,23,1.8,3,3.8,41.1,204.6,18.8,62.2,56,27.2,22.8,4.8,5.1,2.9,4.7,241.3,42.9,77.1,54,27.4,21.6,4.9,6.5,3.7,3.2,260.3,66.4,65.8,52.4,29.5,20.5,7.2,10.3,6.3,1.9,249.4,66.2,46.8,43.7,30.7,24.4,9.9,15.5,10.7,1.4,260.8,62.8,33.1,36.5,31.4,29.9,16.9,28.6,19.6,2,238.4,47.8,21.5,31.9,30.8,31.1,16.3,32.8,25.2,1.1,181.6,31.5,12.5,22.8,22.1,24.6,13.8,28.7,25.5,0.4,110.3,17.4,7,9.8,10.6,17.2,9.1,17.8,21.3,0.1,73.9,11.3,4.1,4.6,4.2,11.2,4.5,9.1,24.8,-
